Sector,Market Cap (Rs Cr),Advances,Declines,Sector PE,Sector Earnings YoY,Industries,Stocks
Banks,5880458,18,22,19.57,7.64%,2,40
Finance,4436247,205,290,118.01,18.33%,8,518
Software & IT Services,4047084,103,175,40.07,-6.66%,6,286
Automobile & Ancillaries,3799367,69,140,24.46,21.11%,34,212
Oil & Gas,2995066,10,12,21.44,22.01%,2,23
Healthcare,2889007,115,174,72.94,14%,5,290
Metals & Mining,2632823,98,133,29.78,41.85%,10,239
FMCG,1957117,67,72,83.18,12.05%,5,144
Capital Goods,1765334,109,203,114.18,41.75%,9,317
Power,1717462,13,30,25.1,25.83%,1,43
Telecom,1680220,13,26,432.82,-8.26%,4,39
Chemicals,1520437,105,178,64.73,-14.87%,10,289
Infrastructure,1400388,58,81,38.54,27.72%,9,143
Insurance,1295814,3,8,26.53,3.40%,3,11
Construction Materials,972802,44,68,53.64,-40.34%,7,116
Real Estate,954722,54,99,57.81,50.76%,4,159
Diversified,905774,21,25,19.86,-1.91%,1,46
Aviation,890409,2,18,58.32,-43.03%,2,20
Retailing,649210,30,20,169.37,-21.15%,3,52
Miscellaneous,577717,69,111,82.5,-0.30%,9,185
Diamond & Jewellery,489073,19,37,109.5,85.53%,1,58
Consumer Durables,444401,26,34,84.75,8.61%,6,62
Trading,374060,81,78,33.41,317.14%,1,170
Hospitality,351152,31,48,68.24,47.70%,4,82
Agriculture,333429,53,103,35.72,45.38%,10,167
Textiles,304922,136,175,134.2,-1.39%,6,319
Electricals,283253,28,42,63.75,52.08%,2,71
Industrial Gases & Fuels,238907,5,12,25.92,-54.54%,3,17
Logistics,236059,42,48,52.57,34.07%,5,95
Alcohol,219520,9,13,74.39,40.55%,1,22
Plastic Products,189710,50,49,40.21,-3.73%,10,102
Ship Building,164201,1,4,64.99,14.63%,1,5
Media & Entertainment,103199,39,41,81.32,77.66%,5,88
Exchange Traded Funds,77737,13,80,0,-,3,93
Footwear,65339,2,11,88.44,26.63%,1,13
Manufacturing,51061,2,6,67.63,92.19%,2,8
Containers & Packaging,21544,24,19,23.83,-17.06%,5,46
Paper,20882,21,27,34.62,58.49%,2,50
Plastics Products,2844,1,1,0,37.28%,1,2
Photographic Products,1576,0,2,184.64,-,1,4
